edge_id,weekday_traffic,hourly_weekday_traffic,weekend_traffic,hourly_weekend_traffic,geometry
19141732935448211,480,20,609,25,"LINESTRING (71.4869869894 51.1277105102, 71.4859144009 51.1274032542)"
19141732935448222,1,0,1,0,"LINESTRING (71.4686203944 51.1282676249, 71.468605123 51.1282264702)"
19141732935448223,1,0,1,0,"LINESTRING (71.4686225503 51.1282239896, 71.4686378217 51.1282651444)"
19141732935448243,1,0,1,0,"LINESTRING (71.4683203571 51.1281194676, 71.4682727464 51.1279993853)"
19141732935448244,1,0,1,0,"LINESTRING (71.4683996783 51.1282964333, 71.4686269521 51.1282609162)"
19141732935448245,1,0,1,0,"LINESTRING (71.468631264 51.1282718532, 71.4684039902 51.1283073703)"
19141732935448268,1,0,1,0,"LINESTRING (71.4684039902 51.1283073139, 71.4681111394 51.1283535425)"
19141732935448269,1,0,1,0,"LINESTRING (71.4681068275 51.1283427182, 71.4683996783 51.1282964896)"
19141732935448271,82,3,112,4,"LINESTRING (71.4802636384 51.1275282991, 71.480168417 51.1275378833, 71.4801692255 51.1275378269, 71.4800829872 51.1275513574, 71.4800838856 51.1275511319, 71.4773530071 51.128175224)"
19141732935448302,1,0,1,0,"LINESTRING (71.4686878579 51.1284363028, 71.4686204842 51.1282677377)"
19141732935448303,1,0,1,0,"LINESTRING (71.4686377319 51.1282650316, 71.4687051055 51.1284335967)"
19141732935448349,1852,77,1808,75,"LINESTRING (71.463921397 51.1286855976, 71.4637965311 51.1287053291)"
19141732935448358,151,6,221,9,"LINESTRING (71.480831733 51.1283593492, 71.4808074785 51.1283243959)"
19141732935448360,256,10,62,2,"LINESTRING (71.4808368534 51.1283519076, 71.4811862981 51.1282718532)"
